name,id,wikipedia_,gender,scale,length
Rodríguez Peña,"266256047",,Male,"-1.0",136.387858422644
Presidente José Evaristo Uriburu,"267161666",,Male,"-0.66",188.925815181714
Marcelo T. de Alvear,"267161667",,Male,"-0.49",299.186096404404
Senador Francisco Quindimil,"268152309",,Male,"-1.0",211.932906735435
Doctor Ricardo Balbín,"268175927",,Male,"-0.5",605.544870978098
Coronel Méndez,"268185343",,Male,"-1.0",141.889546435146
Eva Perón,"268185349",https://es.wikipedia.org/wiki/Eva_Per%C3%B3n,Female,"1.0",40.9564877734412
Carlos Pellegrini,"268199486",,Male,"-0.99",145.833543351585
José Ignacio Rucci,"268927763",,Male,"-0.36",218.836501243685
Avenida Presidente Teniente General Perón,"274468864",,Male,"-1.0",141.805768585226
Avenida Bartolomé Mitre,"275104797",,Male,"-0.5",31.5721436165153
Florencio Varela,"275104809",,Male,"-0.5",118.255235659697
Avenida Don Pedro de Mendoza,"288583330",,Male,"-0.49",101.526244471749
Avenida Don Pedro de Mendoza,"288586706",,Male,"-0.49",88.5571016324368
Virrey Del Pino,"292667049",,Male,"-0.35",211.1676122557
Roberto Arlt,"297130889",,Male,"-0.99",32.5374666469446
Pasaje Herrera (no oficial),"297830901",,Male,"-0.5",84.5504677137992
Avenida Presidente Figueroa Alcorta,"300687870",,Male,"-1.0",170.900145889818
Avenida Medrano,"302353659",,Male,"-0.5",60.5008735210682
General O'Brien,"303688341",,Male,"-0.5",393.095492240536
Santos Dumont,"303901571",,Male,"-0.33",709.754387688247
Metrobus Juan Bautista Justo,"307250083",,Male,"-0.99",12.358486831727
Colectora Camino Presidente Juan Domingo Perón,"308818137",,Male,"-0.5",676.715262793696
Teniente Coronel Obon,"312352621",,Male,"-0.5",87.0390330796242
Oliden,"315052796",,Male,"-0.5",660.851543775738
Murillo,"317468727",,Male,"-0.5",93.1800506243287
Avenida General Francisco Fernández de La Cruz,"323566953",,Male,"-1.0",459.152328561573
Avenida General Francisco Fernández de La Cruz,"323925167",,Male,"-1.0",14.693864244707
Avenida General Francisco Fernández de La Cruz,"323925169",,Male,"-1.0",578.584623615597
Wenceslao Villafañe,"333373311",,Male,"-1.0",145.820901991878
Vito Donato Sabia,"334444858",,Male,"-0.49",88.5137100437502
Salcedo,"334446764",,Male,"-0.5",191.511066190217
Colón,"338641757",,Male,"-0.5",117.664765954797
Carlos A. Bustos (no oficial),"340033890",,Male,"-0.99",120.453086069168
General Guido,"354333777",,Male,"-0.5",259.710822662461
Carlos Pellegrini,"379687208",,Male,"-0.99",137.439742632604
Almirante Cordero,"385934731",,Male,"-0.49",291.479941281873
Almirante Solier,"385934732",,Male,"-0.5",306.428353375105
Teniente General Luís Dellepiane,"391834786",,Male,"-0.5",359.024625216232
Avenida Hipólito Yrigoyen,"392702839",,Male,"-0.5",204.381683957478
Puente Nicolás Avellaneda,"404785394",,Male,"-0.5",26.6018504068207
Avenida Francisco Beiró,"411088340",,Male,"-0.5",43.1428323609801
Sargento Eduardo Romero,"412224235",,Male,"-0.5",72.9558406234433
Martín Rodríguez,"412487626",,Male,"-0.5",185.825981621309
Avenida Brigadier General Juan Manuel de Rosas,"438226600",,Male,"-0.5",1.46401334828928
Avenida General San Martín,"438226603",,Male,"-0.44",78.885276692061
General Juan José Valle,"449137883",,Male,"-0.5",147.177031159112
General Juan José Valle,"449137887",,Male,"-0.5",166.062812248707
Avenida Don Pedro de Mendoza,"449592855",,Male,"-0.49",609.073818618735
Avenida Manuel Ricardo Trelles,"451194307",,Male,"-0.5",68.1238861548696
Almirante Guillermo Brown,"451467839",,Male,"-0.5",54.5284158553149
Gregorio de Laferrere,"452903674",,Male,"-0.99",713.96820343626
Juan Manuel Blanes,"454602695",,Male,"-0.99",105.909029412388
Avenida Perito Moreno,"462876182",,Male,"-0.5",676.721311204869
José Pablo Torcuato Batlle y Ordóñez,"465483232",,Male,"-0.4",21.9607317431587
General Conesa,"468844586",,Male,"-0.5",171.867109333252
Azucena Villaflor,"469287588",https://es.wikipedia.org/wiki/Azucena_Villaflor,Female,"1.0",19.6452954503422
Gaspar Núñez de Arce,"470313105",,Male,"-0.49",88.2408176163098
General Juan G. Lemos,"471549721",,Male,"-0.5",300.619755472069
Julián Álvarez,"473609242",,Male,"-0.5",96.6542472270029
Aquino,"474486745",,Male,"-0.5",72.4415943500051
General Juan Gregorio de las Heras,"474493332",,Male,"-0.5",784.103293001169
General Eugenio Garzón,"476129993",,Male,"-0.5",99.3654676899772
Avenida Leandro N. Alem,"499714600",,Male,"-0.99",112.496875250973
Navarro,"500309148",,Male,"-0.49",74.1381196681306
Avenida Del Trabajador Petrolero,"502942780",,Male,"-0.37",874.417366902365
